Airport,Brussels Airport,BRU,Brussels,BRU,Belgium,BE
Airport,Brussels S. Charleroi Airport,CRL,Brussels,BRU,Belgium,BE
City,Liege,LGG,NULL,NULL,Belgium,BE
Airport,Liege Apt,LGG,Liege,LGG,Belgium,BE
Airport,Oostende/Brugge,OST,Oostende/Brugge,OST,Belgium,BE
City,Oostende/Brugge,OST,NULL,NULL,Belgium,BE
City,Belize City,BZE,NULL,NULL,Belize,BZ
Airport,Belize City Goldson Intl Apt,BZE,Belize City,BZE,Belize,BZ
Airport,Bermuda L.F Wade International,BDA,Bermuda,BDA,Bermuda,BM
City,Bermuda,BDA,NULL,NULL,Bermuda,BM
City,Belo Horizonte,BHZ,NULL,NULL,Brazil,BR
Airport,Sao Paulo Congonhas Apt,CGH,Sao Paulo,SAO,Brazil,BR
Airport,Sao Paulo Guarulhos Intl Apt,GRU,Sao Paulo,SAO,Brazil,BR
City,Rio de Janeiro,RIO,NULL,NULL,Brazil,BR
City,Sao Paulo,SAO,NULL,NULL,Brazil,BR
Airport,Rio de Janeiro Santos Dumont Apt,SDU,Rio de Janeiro,RIO,Brazil,BR
City,Edmonton,YEA,NULL,NULL,Canada,CA
Airport,Edmonton International Apt,YEG,Edmonton,YEA,Canada,CA
City,Charlottetown,YHG,NULL,NULL,Canada,CA
Airport,Charlottetown,YHG,Charlottetown,YHG,Canada,CA
